createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
03/19/2021 13:16:15,gridshot,0,9mm,0,v0.96.5.3-3201,81.22449,77,75,87,86,100,56,89,88,297.034427585314,303.474138957698,328.580196562267,283.133541791867,282.658405848912,206.63425554548,448.297640991211,265.096405029297,262.642907278878,202,245,3.321987,199,
03/19/2021 02:18:32,gridshot,0,9mm,0,v0.96.5.3-3201,85.96491,84,82,96,82,88,88,86,73,296.566318044857,277.393204972551,317.347270117866,261.041542197174,329.978019156107,257.532632010324,264.606940133231,327.412709554036,379.311630249023,199,228,3.270821,196,
03/07/2021 22:36:13,gridshot,0,9mm,0,v0.96.5.3-3201,85.8333359,88,80,80,93,83,86,83,100,287.305582731673,282.039077758789,300.654766506619,319.848198867426,263.641572952271,271.59772644043,294.215677897135,290.593109130859,221.721653529576,209,240,3.43896341,206,
03/07/2021 22:35:05,gridshot,0,9mm,0,v0.96.5.3-3201,81.6666641,84,86,81,76,82,90,75,80,301.827757426671,307.639081629311,281.880169115568,291.501478649321,313.515559241885,298.072699652778,299.569549560547,348.704209645589,313.796918869019,199,240,3.27199388,196,
03/07/2021 22:33:52,gridshot,0,9mm,0,v0.96.5.3-3201,77.08333,76,70,73,85,75,83,89,75,320.264423927101,347.791749954224,326.005392259167,343.794767553156,295.937900196422,275.600138346354,347.877847290039,248.425786972046,294.753445943197,188,240,3.08834434,185,
03/07/2021 22:32:41,gridshot,0,9mm,0,v0.96.5.3-3201,81.42293,76,73,83,92,100,100,100,100,284.693792991268,311.780746459961,324.755542437236,258.043252832749,252.133507438328,245.55200958252,251.79292678833,229.149211338588,244.400245666504,209,253,3.438876,206,
03/05/2021 12:55:20,gridshot,0,9mm,0,v0.96.5.3-3201,86.95652,85,88,84,88,80,100,100,100,268.362762260437,272.314078354254,270.762607121872,283.492786183077,254.614915296766,302.352830886841,241.658386230469,225.890696207682,237.326334635417,223,253,3.67266,220,
03/04/2021 08:54:02,gridshot,0,9mm,0,v0.96.5.3-3201,84.716156,94,84,82,83,75,75,83,80,303.591260969025,271.21573041833,307.724072774251,307.136012077331,321.039598985152,320.040364583333,375.054545084635,299.424049377441,324.349853515625,197,229,3.23848581,194,
03/03/2021 12:15:01,gridshot,0,9mm,0,v0.96.5.3-3201,82.8451843,91,82,82,78,80,83,100,80,298.473131126828,276.031134033203,292.393466120181,283.392442284561,339.664789157444,315.382759094238,297.075216674805,201.749244689941,359.531209945679,201,239,3.305367,198,
03/02/2021 15:03:27,gridshot,0,9mm,0,v0.96.5.3-3201,87.90323,83,90,89,86,100,89,100,91,271.999227366316,303.818222357302,266.990741984049,263.365471048558,274.848483418309,235.129180908203,248.860265731812,228.001463148329,265.278526306152,221,248,3.63925219,218,
03/02/2021 15:01:48,gridshot,0,9mm,0,v0.96.5.3-3201,80.24691,73,72,93,85,89,100,100,77,303.891665649414,333.842808116566,346.170729927395,268.498176574707,277.525534605368,245.094181060791,236.459798177083,253.344947814941,291.215776062012,198,243,3.255336,195,
03/02/2021 15:00:36,gridshot,0,9mm,0,v0.96.5.3-3201,76.44628,75,80,76,78,86,71,83,50,320.900065076673,313.67605864696,282.1969871521,346.745963019294,323.155201039416,271.11336517334,345.643927001953,289.664004516602,519.809356689453,188,242,3.08841515,185,
03/02/2021 14:58:46,gridshot,0,9mm,0,v0.96.5.3-3201,87.95181,91,85,90,83,86,100,100,85,270.077727435387,258.351056025578,285.701702686066,265.244487847222,279.812077840169,246.409633636475,239.188448819247,233.956802368164,312.406842318448,222,249,3.65597868,219,
03/02/2021 14:57:05,gridshot,0,9mm,0,v0.96.5.3-3201,81.6666641,90,83,79,73,77,91,88,100,301.165383942273,278.637728304476,298.030512029474,309.053759319026,331.976218414307,303.788166809082,276.167877197266,290.920966012137,279.312337239583,199,240,3.271998,196,
03/02/2021 14:55:56,gridshot,0,9mm,0,v0.96.5.3-3201,82.15768,84,80,80,83,100,78,50,90,299.178805871443,302.080774943034,311.934272279131,309.798729138497,286.390637117274,246.511984931098,339.453772408622,408.018096923828,257.914286295573,201,241,3.30537,198,
03/02/2021 12:09:52,gridshot,0,9mm,0,v0.96.5.3-3201,84.77366,83,84,93,86,100,88,50,60,287.130861374938,295.478499502506,282.947138910708,263.399397629958,285.025721335898,269.993060302734,294.158706665039,443.804931640625,328.655141194661,209,243,3.43884468,206,
02/26/2021 17:51:58,gridshot,10,9mm,0,v0.96.5.3-3201,80.35714,78,82,79,78,89,100,100,67,327.777573055691,358.140982437134,331.616468024976,310.08349568135,342.4372823964,258.357297897339,265.3525390625,232.472078959147,385.326477050781,183,224,3.00461435,180,
02/26/2021 17:12:31,gridshot,10,9mm,0,v0.96.5.3-3201,86.05578,90,82,85,86,89,100,83,83,272.930653889974,270.672129217184,304.515561162209,282.752617812738,252.643020266578,238.468723297119,213.361528669085,295.288134765625,252.294055175781,219,251,3.605568,216,
02/26/2021 17:11:26,gridshot,10,9mm,0,v0.96.5.3-3201,84.83607,79,89,93,79,92,92,83,80,284.336646701979,309.142099062602,262.123213605183,256.847515571408,301.132787564906,258.423030506481,260.598704944957,356.897479248047,323.611873626709,210,244,3.45545959,207,
02/26/2021 17:10:17,gridshot,10,9mm,0,v0.96.5.3-3201,81.4655151,85,94,73,76,70,86,91,100,311.612037133918,286.581984357136,266.137847900391,336.761698867335,351.051212380149,350.476841517857,324.369043986003,266.952886962891,227.029314676921,192,232,3.15482426,189,
02/26/2021 17:09:06,gridshot,10,9mm,0,v0.96.5.3-3201,74.5833359,69,80,87,74,60,62,78,50,329.1674423644,353.778958204316,291.098848085146,290.088394165039,331.925676428753,425.223317464193,417.255911254883,335.024470738002,465.832598368327,182,240,2.98803782,179,
02/23/2021 12:27:14,gridshot,0,9mm,0,v0.96.5.3-3201,79.20354,82,73,69,86,100,100,100,93,328.184781292963,317.702474636502,346.804776578336,404.591172914247,281.711027083858,261.1923828125,217.03059387207,261.360722859701,274.489354814802,182,226,2.98793912,179,
12/29/2020 22:54:41,gridshot,10,9mm,0,v0.96.5.3-3201,78.26087,79,76,67,83,100,100,71,83,321.581249618531,323.292172023228,330.668712719067,371.068781698904,311.716872829861,214.580627441406,207.199574061802,380.205868530273,317.902774047852,183,230,3.00458646,180,
